a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-2
adwaita-icon-theme 3.20-2
alsa-lib 1.1.1-1
alsa-utils 1.1.1-1
archlinux-keyring 20160402-1
aspell 0.60.6.1-5
at-spi2-atk 2.20.1-2
at-spi2-core 2.20.2-1
atk 2.20.0-1
attr 2.4.47-1
autoconf 2.69-3
automake 1.15-1
avahi 0.6.32-2
bash 4.3.042-5
bash-completion 2.3-4
binutils 2.26-4
bison 3.0.4-2
boost-libs 1.60.0-5
bridge-utils 1.5-2
bzip2 1.0.6-5
ca-certificates 20160507-1
ca-certificates-cacert 20140824-3
ca-certificates-mozilla 3.24-1
ca-certificates-utils 20160507-1
cairo 1.14.6-1
cdparanoia 10.2-5
chromedriver 2.22-1
colord 1.3.2-2
compositeproto 0.4.2-3
containerd 0.2.2-1
coreutils 8.25-2
cracklib 2.9.6-1
cryptsetup 1.7.2-1
curl 7.49.1-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.8-1
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.26.0-1
deluge 1.3.12-1
desktop-file-utils 0.22-2
device-mapper 2.02.157-1
dhcpcd 6.11.1-1
dialog 1:1.3_20160424-1
diffutils 3.3-3
dmenu 4.6-1
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
docker 1:1.11.2-2
dotconf 1.3-4
e2fsprogs 1.42.13-1
efibootmgr 0.12.27.g5e9700c-1
efivar 0.23.37.g8740389-1
elfutils 0.166-1
enchant 1.6.0-8
expat 2.2.0-1
faad2 2.7-4
fakeroot 1.20.2-1
farstream 0.2.8-1
feh 2.16.1-1
ffmpeg2.8 2.8.7-1
fftw 3.3.4-2
file 5.28-1
filesystem 2015.09-1
findutils 4.6.0-1
fixesproto 5.0-3
flac 1.3.1-3
flex 2.6.0-3
fontconfig 2.12.0-1
fontsproto 2.1.3-1
freetype2 2.6.3-1
fribidi 0.19.7-1
fuse 2.9.7-1
gawk 4.1.3-1
gc 7.4.2-4
gcc 6.1.1-2
gcc-libs 6.1.1-2
gconf 3.2.6-4
