
IBM Informix Dynamic Server Version 11.50.UC6     -- On-Line -- Up 1 days 03:21:52 -- 143772 Kbytes

Userthreads
address  flags   sessid   user     tty      wait     tout locks nreads   nwrites
4af0c018 ---P--D 1        informix -        0        0    0     140      1126
4af0c620 ---P--F 0        informix -        0        0    0     0        6073
4af0cc28 ---P--F 0        informix -        0        0    0     0        0
4af0d230 ---P--F 0        informix -        0        0    0     0        0
4af0d838 ---P--F 0        informix -        0        0    0     0        0
4af0de40 ---P--F 0        informix -        0        0    0     0        0
4af0e448 ---P--F 0        informix -        0        0    0     0        0
4af0ea50 ---P--F 0        informix -        0        0    0     0        0
4af0f058 ---P--F 0        informix -        0        0    0     0        0
4af0f660 ---P--- 5        informix -        0        0    0     0        2
4af0fc68 ---P--B 6        informix -        0        0    0     45       0
4af10270 L--PR-- 118      informix 3        4419935c -1   1     0        0
4af10878 ---P--D 10       informix -        0        0    0     2        0
4af10e80 ---P--D 9        informix -        0        0    0     0        0
4af11488 ---P--- 18       informix -        0        0    1     190      207
4af11a90 ---P--- 19       informix -        0        0    1     119      626
4af12098 ---P--- 20       informix -        0        0    1     409      1063
4af126a0 Y-BP--- 117      informix 2        4c36a5a8 0    5     0        0
4af156e0 Y--P--D 23       informix -        44122030 0    0     0        0
 19 active, 128 total, 26 maximum concurrent

