

DBspace Usage Report: rootdbs             Owner: informix  Created: 11/07/2011


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     1 /home/informix/local/local_root                2    50000    26962    23038

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 RESERVED PAGES                                                       0       12
 CHUNK FREELIST PAGE                                                 12        1
 rootdbs:'informix'.TBLSpace                                         13      250
 PHYSICAL LOG                                                       263     2000
 LOGICAL LOG: Log file 1                                           2263     2500
 LOGICAL LOG: Log file 2                                           4763     2500
 LOGICAL LOG: Log file 3                                           7263     2500
 LOGICAL LOG: Log file 4                                           9763     2500
 LOGICAL LOG: Log file 5                                          12263     2500
 LOGICAL LOG: Log file 6                                          14763     2500
 sysmaster:'informix'.sysdatabases                                17263        4
 system:'informix'.syslicenseinfo                                 17267       16
 sysmaster:'informix'.systables                                   17283        8
 sysmaster:'informix'.syscolumns                                  17291       24
 sysmaster:'informix'.sysindices                                  17315       32
 sysmaster:'informix'.systabauth                                  17347       16
 sysmaster:'informix'.syscolauth                                  17363        8
 sysmaster:'informix'.sysviews                                    17371        8
 sysmaster:'informix'.sysusers                                    17379        8
 sysmaster:'informix'.sysdepend                                   17387        8
 sysmaster:'informix'.syssynonyms                                 17395        8
 sysmaster:'informix'.syssyntable                                 17403        8
 sysmaster:'informix'.sysconstraints                              17411        8
 sysmaster:'informix'.sysreferences                               17419        8
 sysmaster:'informix'.syschecks                                   17427        8
 sysmaster:'informix'.sysdefaults                                 17435        8
 sysmaster:'informix'.syscoldepend                                17443        8
 sysmaster:'informix'.sysprocedures                               17451        8
 sysmaster:'informix'.sysprocbody                                 17459        8
 sysmaster:'informix'.sysprocplan                                 17467        8
 sysmaster:'informix'.sysprocauth                                 17475        8
 sysmaster:'informix'.sysblobs                                    17483        8
 sysmaster:'informix'.sysopclstr                                  17491        8
 sysmaster:'informix'.systriggers                                 17499        8
 sysmaster:'informix'.systrigbody                                 17507        8
 sysmaster:'informix'.sysdistrib                                  17515        8
 sysmaster:'informix'.sysfragments                                17523        8
 sysmaster:'informix'.sysfragauth                                 17531        8
 sysmaster:'informix'.sysxtdtypes                                 17539        8
 sysmaster:'informix'.sysxtddesc                                  17547        8
 sysmaster:'informix'.sysattrtypes                                17555        8
 sysmaster:'informix'.sysinherits                                 17563        8
 sysmaster:'informix'.syscolattribs                               17571        8
 sysmaster:'informix'.syslogmap                                   17579        8
 sysmaster:'informix'.syscasts                                    17587       24
 sysmaster:'informix'.sysxtdtypeauth                              17611        8
 sysmaster:'informix'.sysams                                      17619        8
 sysmaster:'informix'.systabamdata                                17627        8
 sysmaster:'informix'.sysopclasses                                17635        8
 sysmaster:'informix'.syserrors                                   17643        8
 sysmaster:'informix'.systraceclasses                             17651        8
 sysmaster:'informix'.systracemsgs                                17659        8
 sysmaster:'informix'.sysroutinelangs                             17667        8
 sysmaster:'informix'.syslangauth                                 17675        8
 sysmaster:'informix'.sysaggregates                               17683        8
 sysmaster:'informix'.sysroleauth                                 17691        8
 sysmaster:'informix'.sysobjstate                                 17699        8
 sysmaster:'informix'.sysviolations                               17707        8
 sysmaster:'informix'.syssequences                                17715        8
